"PREFIXO","PLACA","DATA_ABASTECIMENTO","HORA_ABASTECIMENTO","HODOMETRO_INICIAL","HODOMETRO_FINAL","KM_PERCORRIDO","KM_POR_L","QUANTIDADE_COMBUSTIVEL"
"0002001","FAT 7J88","30/06/2026 00:00:00","01/06/2026 04:01:00","472275","472524","249","2,36175661576401","10543"
"0002001","FAT 7J88","01/07/2026 00:00:00","01/07/2026 03:56:00","472524","472770","246","2,10005122076148","11714"
"0002001","FAT 7J88","02/07/2026 00:00:00","01/07/2026 21:49:00","472948","473109","161","1,93952535839056","8301"
"0002001","FAT 7J88","02/07/2026 00:00:00","01/07/2026 03:35:00","472770","472948","178","2,37808951235805","7485"
"0002006","EFB 5A69","29/06/2026 00:00:00","01/06/2026 21:51:00","491381","491498","117","2,25043277553376","5199"
"0002006","EFB 5A69","01/07/2026 00:00:00","01/07/2026 00:32:00","491498","491741","243","2,00710332865285","12107"
"0002006","EFB 5A69","01/07/2026 00:00:00","01/07/2026 21:34:00","491741","491901","160","1,74710635509937","9158"
"0002006","EFB 5A69","03/07/2026 00:00:00","01/07/2026 00:24:00","491901","492150","249","2,11806736985369","11756"
"0002006","EFB 5A69","03/07/2026 00:00:00","01/07/2026 21:31:00","492150","492274","124","2,07253886010363","5983"
"0002007","FXF 8I38","28/06/2026 00:00:00","01/06/2026 21:03:00","503701","503920","219","2,38198825320861","9194"
"0002007","FXF 8I38","30/06/2026 00:00:00","01/06/2026 03:14:00","503920","504110","190","2,25198530283276","8437"
"0002007","FXF 8I38","01/07/2026 00:00:00","01/07/2026 03:05:00","504110","504381","271","2,14415697444418","12639"
"0002007","FXF 8I38","02/07/2026 00:00:00","01/07/2026 01:33:00","504381","504654","273","2,24082738241812","12183"
"0002007","FXF 8I38","03/07/2026 00:00:00","01/07/2026 21:46:00","504928","505108","180","2,38885202388852","7535"
"0002007","FXF 8I38","03/07/2026 00:00:00","01/07/2026 01:28:00","504654","504928","274","2,2955764075067","11936"
